,date,totalSubmissions,totalScripts,totalDiscussions,totalDatasets
0,2019-08-13T00:00:00Z,1,3,0,0
1,2019-08-14T00:00:00Z,3,5,0,0
2,2019-08-15T00:00:00Z,3,11,0,0
3,2019-08-16T00:00:00Z,4,5,0,0
4,2019-08-17T00:00:00Z,4,16,2,0
5,2019-08-18T00:00:00Z,1,8,0,0
6,2019-08-20T00:00:00Z,4,5,0,0
7,2019-09-04T00:00:00Z,0,2,0,0
8,2019-09-05T00:00:00Z,1,2,0,0
9,2019-09-06T00:00:00Z,0,4,0,0
10,2019-09-07T00:00:00Z,1,3,0,0
11,2019-08-11T00:00:00Z,1,5,1,0
12,2019-08-12T00:00:00Z,2,2,0,0
13,2019-08-19T00:00:00Z,2,6,0,0
14,2019-08-28T00:00:00Z,1,0,2,0
15,2019-08-29T00:00:00Z,0,0,3,0
16,2019-09-02T00:00:00Z,0,0,2,0
17,2019-09-03T00:00:00Z,0,0,2,0
18,2019-11-09T00:00:00Z,0,0,1,0
19,2019-05-20T00:00:00Z,1,0,0,0
20,2019-05-23T00:00:00Z,5,0,0,0
21,2019-05-28T00:00:00Z,1,0,0,0
22,2019-06-01T00:00:00Z,2,0,0,0
23,2019-08-08T00:00:00Z,1,0,0,0
24,2019-08-10T00:00:00Z,3,0,0,0
25,2019-08-21T00:00:00Z,2,0,0,0
26,2019-08-23T00:00:00Z,2,0,0,0
27,2019-08-30T00:00:00Z,1,0,0,0
28,2019-08-31T00:00:00Z,1,0,0,0
29,2019-09-01T00:00:00Z,1,0,0,0
30,2019-09-09T00:00:00Z,5,0,0,0
31,2019-09-10T00:00:00Z,5,0,0,0
32,2019-09-12T00:00:00Z,5,0,0,0
33,2019-09-13T00:00:00Z,1,0,0,0
34,2019-10-20T00:00:00Z,5,0,0,0
35,2019-10-21T00:00:00Z,5,0,0,0
36,2019-10-22T00:00:00Z,2,0,0,0
37,2019-10-23T00:00:00Z,1,0,0,0
38,2019-10-24T00:00:00Z,1,0,0,0
39,2019-10-25T00:00:00Z,2,0,0,0
40,2019-10-26T00:00:00Z,1,0,0,0
41,2019-10-27T00:00:00Z,4,0,0,0
42,2019-10-28T00:00:00Z,1,0,0,0
43,2019-10-29T00:00:00Z,1,0,0,0
44,2019-10-30T00:00:00Z,2,0,0,0
45,2019-10-31T00:00:00Z,3,0,0,0
46,2019-11-07T00:00:00Z,1,0,0,0
47,2019-11-08T00:00:00Z,4,0,0,0
48,2019-11-14T00:00:00Z,4,0,0,0
49,2019-12-03T00:00:00Z,4,0,0,0
50,2019-12-06T00:00:00Z,1,0,0,0
51,2019-12-13T00:00:00Z,3,0,0,0
52,2019-12-16T00:00:00Z,1,0,0,0
